,Total,Profit,Loss,Sim,Un,R-value,Win Rate %
Total,1.0,0.6249630821937717,0.9901075842095196,,,-0.9403625600545368,-0.1492301640675324
Profit,0.6249630821937717,1.0,0.509246871533392,,,-0.3225830855114582,0.5191650995484015
Loss,0.9901075842095196,0.509246871533392,1.0,,,-0.9787092177464771,-0.25782824731415505
Sim,,,,,,,
Un,,,,,,,
R-value,-0.9403625600545368,-0.3225830855114582,-0.9787092177464771,,,1.0,0.4107702618551128
Win Rate %,-0.1492301640675324,0.5191650995484015,-0.25782824731415505,,,0.4107702618551128,1.0
