,Total,Profit,Loss,Sim,Un,R-value,Win Rate %
Total,1.0,0.83283044555857,0.8872103854134473,,,0.04972145046396729,0.28761965936072764
Profit,0.83283044555857,1.0,0.4863718284577727,,,0.5915638777243417,0.6995900412536817
Loss,0.8872103854134473,0.4863718284577727,1.0,,,-0.41366602526462565,-0.12543264330266993
Sim,,,,,,,
Un,,,,,,,
R-value,0.04972145046396729,0.5915638777243417,-0.41366602526462565,,,1.0,0.8448153236491679
Win Rate %,0.28761965936072764,0.6995900412536817,-0.12543264330266993,,,0.8448153236491679,1.0
