,rvalue,gapclosepos,gapcopenpos,tpvalue,slvalue,Gap Size
rvalue,1.0,0.2671803894500336,0.22575587391626598,0.23816432046434888,0.22457094057992952,0.11268007309890768
gapclosepos,0.2671803894500336,1.0,0.990936365243555,0.19148334501293499,0.1965423855691806,-0.0962767682690071
gapcopenpos,0.22575587391626598,0.990936365243555,1.0,0.18779504963884325,0.19674913382977324,-0.1306455991118536
tpvalue,0.23816432046434888,0.19148334501293499,0.18779504963884325,1.0,0.9954806635464634,-0.17733867009264254
slvalue,0.22457094057992952,0.1965423855691806,0.19674913382977324,0.9954806635464634,1.0,-0.2684521215088131
Gap Size,0.11268007309890768,-0.0962767682690071,-0.1306455991118536,-0.17733867009264254,-0.2684521215088131,1.0
