,Total,Profit,Loss,Sim,Un,R-value,Win Rate %
Total,1.0,0.7996705470152323,0.9040507133494737,,0.5752939722372957,-0.13399351210640925,0.18238185680047106
Profit,0.7996705470152323,1.0,0.4850712500726659,,0.4099600308453939,0.47914576440402484,0.6276227935255022
Loss,0.9040507133494737,0.4850712500726659,1.0,,0.42257712736425823,-0.5324894324746938,-0.12471108774702985
Sim,,,,,,,
Un,0.5752939722372957,0.4099600308453939,0.42257712736425823,,1.0,-0.03419162474289406,-0.10540010642122365
R-value,-0.13399351210640925,0.47914576440402484,-0.5324894324746938,,-0.03419162474289406,1.0,0.7070097289405501
Win Rate %,0.18238185680047106,0.6276227935255022,-0.12471108774702985,,-0.10540010642122365,0.7070097289405501,1.0
