,Total,Profit,Loss,Sim,Un,R-value,Win Rate %
Total,1.0,0.9483250902115476,0.72502920708711,,,0.8065312185907009,0.5546274263854689
Profit,0.9483250902115476,1.0,0.4836235649524531,,,0.9491431398806683,0.7233848994634942
Loss,0.72502920708711,0.4836235649524531,1.0,,,0.1906345050642256,-0.012557688580016201
Sim,,,,,,,
Un,,,,,,,
R-value,0.8065312185907009,0.9491431398806683,0.1906345050642256,,,1.0,0.7819684663430179
Win Rate %,0.5546274263854689,0.7233848994634942,-0.012557688580016201,,,0.7819684663430179,1.0
